title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Heaven Official’s Blessing [天官赐福],,"['Fantasy', 'Romance', 'LGBT', 'Fiction', 'China', 'Boys Love', 'Historical', 'M M Romance', 'Adult', 'Mystery']","Eight hundred years ago, Xie Lian was the Crown Prince of the Xian Le kingdom; one who was beloved by his citizens and the darling of the world. Unsurprisingly, he ascended to the Heavens at a very young age. Now, eight hundred years later, Xie Lian ascends to the Heavens for the third time as the laughing stock of all three realms. On his first task as a god, he meets a mysterious demon who rules the ghosts and terrifies the Heavens……yet unbeknownst to Xie Lian, this demon king has been paying attention to him for a very, very long time.",,,06/16/17,April 20th 2018 ,[],Webnovel,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551802602l/44283411.jpg,4.66,[],100.0,1.0,,,,98.0,2801.0,1408,,"['2121', '489', '131', '35', '25']",,[],,
"Head, Shoulders, Knees and Toes ...",,Juvenile Nonfiction,An illustrated version of the song which identifies parts of the body. On board pages.,,,,2002.0,,,0859537285,9780859537285,,,4.06,,,,,,,,,12.0,,,1083.0,,,
Homo Deus: A Brief History of Tomorrow,,"[""Books"",""History"",""World""]",,,,,,,"[{""name"":""Kindle"",""price"":""$14.99"",""url"":""/Homo-Deus-Brief-History-Tomorrow-ebook/dp/B01BBQ33VE""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Homo-Deus-Yuval-Noah-Harari-audiobook/dp/B01MYZ4OUW""},{""name"":""Paperback"",""price"":""$18.38"",""url"":""/Homo-Deus-Brief-History-Tomorrow/dp/0062464345""},{""name"":""Audio CD"",""price"":""$19.99"",""url"":""/Homo-Deus-Low-Price-CD/dp/0062955632""}]",0062464310,,0062464310,"https://images-na.ssl-images-amazon.com/images/I/41MJoxwmKfL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.6 out of 5 stars,,,,,,,,,,,,,,Momma's Media,['Yuval Noah Harari']
Homo Deus: A Brief History of Tomorrow,,"[""Books"",""History"",""World""]",,,,,,,"[{""name"":""Kindle"",""price"":""$14.99"",""url"":""/Homo-Deus-Brief-History-Tomorrow-ebook/dp/B01BBQ33VE""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Homo-Deus-Yuval-Noah-Harari-audiobook/dp/B01MYZ4OUW""},{""name"":""Hardcover"",""price"":""$33.49"",""url"":""/Homo-Deus-Brief-History-Tomorrow/dp/0062464310""},{""name"":""Audio CD"",""price"":""$19.99"",""url"":""/Homo-Deus-Low-Price-CD/dp/0062955632""}]",0062464345,,0062464345,"https://images-na.ssl-images-amazon.com/images/I/41c-iQqDNSL._SY291_BO1,204,203,200_QL40_ML2_.jpg",4.6 out of 5 stars,,,,,,,,,,,,,,Alex BooksandMore,['Yuval Noah Harari']
HarperLuxe The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,,"[""Books"",""Self-Help"",""Happiness""]",,,,,,,"[{""name"":""Kindle"",""price"":""$12.99"",""url"":""/Subtle-Art-Not-Giving-Counterintuitive-ebook/dp/B019MMUA8S""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Subtle-Art-Not-Giving-Counterintuitive/dp/B01I29Y344""},{""name"":""Hardcover"",""price"":""$11.50"",""url"":""/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713""},{""name"":""Audio CD"",""price"":""$14.99"",""url"":""/Art-Not-Giving-f-ck-audio-cd/dp/1441711368""}]",0062899147,,0062899147,"https://images-na.ssl-images-amazon.com/images/I/51AffTW1D6L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.6 out of 5 stars,,,,,,,,,,,,,,worldofbooksinc,['Mark Manson']
Hillbilly Elegy [movie tie-in]: A Memoir of a Family and Culture in Crisis,,"[""Books"",""Biographies & Memoirs"",""Historical""]",,,,,,,"[{""name"":""Kindle"",""price"":""$11.99"",""url"":""/Hillbilly-Elegy-Memoir-Family-Culture-ebook/dp/B079L5DDB4""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hillbilly-Elegy-J-D-Vance-audiobook/dp/B01EM4ZJBO""},{""name"":""Hardcover"",""price"":""$12.35"",""url"":""/Hillbilly-Elegy-Memoir-Family-Culture/dp/0062300547""},{""name"":""Audio CD"",""price"":""$14.99"",""url"":""/Hillbilly-Elegy-Memoir-Family-Culture/dp/1504734335""}]",0063045982,,0063045982,"https://images-na.ssl-images-amazon.com/images/I/51aK9ixl7tL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.5 out of 5 stars,,,,,,,,,,,,,,DTXMARKETSDTXMARKETSGREENWORLD BOOKS,['J. D. Vance']
Hatchet,,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Hatchet-Brians-Saga-Book-1-ebook/dp/B002MBLU9U""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hatchet-Gary-Paulsen-audiobook/dp/B0000X8R9S""},{""name"":""Hardcover"",""price"":""$11.59"",""url"":""/Hatchet-Gary-Paulsen/dp/0689840926""},{""name"":""Mass Market Paperback"",""price"":""$6.51"",""url"":""/Hatchet-Gary-Paulsen/dp/1416936467""},{""name"":""Audio CD"",""price"":""$25.00"",""url"":""/Hatchet-Gary-Paulsen/dp/0807204773""}]",014032724X,,014032724X,"https://images-na.ssl-images-amazon.com/images/I/512YBXRZW0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,,,,,,,,,,,Learning with BooksLearning with BooksJenson Books Inc,['Gary Paulsen']
Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul,,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/Hinch-Yourself-Happy-Cleaning-Soothe-ebook/dp/B07L9CZ59P""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hinch-Yourself-Happy-Mrs-Hinch-audiobook/dp/B07MWHX96H""}]",0241399750,,0241399750,"https://images-na.ssl-images-amazon.com/images/I/310vGuY0NBL._SY291_BO1,204,203,200_QL40_ML2_.jpg",4.7 out of 5 stars,,,,,,,,,,,,,,Fast Same Day Products,['Mrs Hinch']
Harry Potter and the Half-Blood Prince (Book 6),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Half-Blood-Prince-Rowling-ebook/dp/B0192CTMWI""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Half-Blood-Prince-Book/dp/B017V4NOEG""},{""name"":""Hardcover"",""price"":""$14.74"",""url"":""/Harry-Potter-Half-Blood-Prince-Book/dp/0439784549""},{""name"":""Paperback"",""price"":""$10.00"",""url"":""/Harry-Potter-Half-Blood-Prince-Book/dp/0439785960""},{""name"":""Mass Market Paperback"",""price"":""$7.88"",""url"":""/Harry-Potter-Half-Blood-Prince-Adult/dp/1551929856""},{""name"":""Multimedia CD"",""price"":""$63.98"",""url"":""/Half-Blood-HALF-BLOOD-Rowling-Jul-16-2005-Compact/dp/B006DUUOCA""}]",0307283658,,0307283658,"https://images-na.ssl-images-amazon.com/images/I/51mnCyAWskL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,Novatechs,['J. K. Rowling']
His Dark Materials: The Golden Compass / The Subtle Knife / The Amber Spyglass,,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]",,,,,2011/12/06,,"[{""name"":""Kindle"",""price"":""$19.99"",""url"":""/Dark-Materials-Omnibus-Philip-Pullman-ebook/dp/B005WBBYXO""},{""name"":""Paperback"",""price"":""$15.62"",""url"":""/Dark-Materials-Yearling-3-book-Boxed/dp/0440419514""},{""name"":""Mass Market Paperback"",""price"":""$18.50"",""url"":""/Materials-3-Book-Market-Paperback-Boxed/dp/0440238609""}]",0307957837,,0307957837,"https://images-na.ssl-images-amazon.com/images/I/51tRrerXt0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,False,False,False,,,,,,,,worldofbooksinc,['Philip Pullman']
Holes,,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$7.99"",""url"":""/Holes-Louis-Sachar-ebook/dp/B004ZZH4V4""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Holes-Louis-Sachar-audiobook/dp/B0000YSH5G""},{""name"":""Paperback"",""price"":""$4.67"",""url"":""/Holes-Louis-Sachar/dp/0440414806""},{""name"":""Mass Market Paperback"",""price"":""$6.52"",""url"":""/Holes-Louis-Sachar/dp/044022859X""},{""name"":""Audio CD"",""price"":""$19.95"",""url"":""/Holes-Louis-Sachar/dp/0739331760""},{""name"":""Multimedia CD"",""price"":""$33.76"",""url"":""/HOLES-Holes-Sachar-Author-compact/dp/B004XGCZFU""}]",0374312648,,0374312648,"https://images-na.ssl-images-amazon.com/images/I/516ae4UcBeL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.8 out of 5 stars,,,,,,,,,,,,,,ThriftBooks-Reno,['Louis Sachar']
Happy Birthday to You! (Mini Pops),,"[""Books"",""Children's Books"",""Holidays & Celebrations""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/Happy-Birthday-You-Classic-Seuss-ebook/dp/B00ESF28OY""},{""name"":""Hardcover"",""price"":""$11.19"",""url"":""/Happy-Birthday-You-Dr-Seuss/dp/0394800761""},{""name"":""Paperback"",""price"":""$13.18"",""url"":""/Happy-Birthday-You-Dr-Seuss/dp/0008251983""}]",0375823115,,0375823115,"https://images-na.ssl-images-amazon.com/images/I/51qQPN-wYPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.8 out of 5 stars,,,,,,,,,,,,,,gatecitybooks,['Dr. Seuss']
Hidden Valley Road: Inside the Mind of an American Family,,"[""Books"",""Biographies & Memoirs"",""Professionals & Academics""]",,,,,,,"[{""name"":""Kindle"",""price"":""$12.99"",""url"":""/Hidden-Valley-Road-Inside-American-ebook/dp/B07TZYFR71""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hidden-Valley-Road-Inside-American/dp/B0859L8P4Q""},{""name"":""Paperback"",""price"":""$14.85"",""url"":""/Hidden-Valley-Road-Inside-American/dp/0525562648""}]",038554376X,,038554376X,"https://images-na.ssl-images-amazon.com/images/I/51HozGo5tZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.5 out of 5 stars,,,,,,,,,,,,,,MjTreasuresCT,['Robert Kolker']
How to Babysit a Grandma,,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$10.99"",""url"":""/How-Babysit-Grandma-relationships-ebook/dp/B00FIN0TPU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/How-to-Babysit-a-Grandma/dp/B09MVB9J9N""},{""name"":""Board book"",""price"":""$8.67"",""url"":""/How-Babysit-Grandma-Jean-Reagan/dp/1524772569""}]",0385753845,,0385753845,"https://images-na.ssl-images-amazon.com/images/I/51uw1zqXdbL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.8 out of 5 stars,,,,,,,,,,,,,,Vivé Liber Books LLC,['Jean Reaganlee Wildish']
How the Grinch Stole Christmas! (Classic Seuss),,"[""Books"",""Literature & Fiction"",""Poetry""]",,,,,1957/10/12,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/Grinch-Stole-Christmas-Classic-Seuss-ebook/dp/B00ESF28UI""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/How-Grinch-Stole-Christmas-audiobook/dp/B000GHMWFI""},{""name"":""Paperback"",""price"":""$8.49"",""url"":""/Grinch-Stole-Christmas-Louise-Gikow/dp/0375810625""},{""name"":""Audio, Cassette"",""price"":"""",""url"":""/How-Grinch-Stole-Christmas-Seuss/dp/0394078454""}]",0394800796,,0394800796,"https://images-na.ssl-images-amazon.com/images/I/511KgC5-DLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,False,False,False,,,,,,,,-OnTimeBooks-,['Dr. Seuss']
Harry Potter and the Chamber of Secrets (2),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B0192CTMW8""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Chamber-Secrets-Book/dp/B017V4IPPO""},{""name"":""Hardcover"",""price"":""$11.94"",""url"":""/Harry-Potter-Chamber-Secrets-Rowling/dp/0439064864""},{""name"":""Mass Market Paperback"",""price"":""$8.11"",""url"":""/Harry-Potter-Chamber-Secrets-Rowling/dp/0439420105""},{""name"":""Audio CD"",""price"":""$38.74"",""url"":""/Harry-Potter-Chamber-Secrets-Book/dp/0807281948""},{""name"":""Board book"",""price"":""$31.56"",""url"":""/Harry-Potter-Chamber-Secrets-ROWLING/dp/1408869128""}]",0439064872,,0439064872,"https://images-na.ssl-images-amazon.com/images/I/51mFoFmu0EL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.8 out of 5 stars,,,,,,,,,,,,,,Amazon,['J. K. Rowling']
Harry Potter and the Prisoner of Azkaban (3),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Prisoner-Azkaban-Rowling-ebook/dp/B0192CTMX2""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Prisoner-Azkaban-Book/dp/B017V4NTFA""},{""name"":""Paperback"",""price"":""$8.78"",""url"":""/Harry-Potter-Prisoner-Azkaban-Rowling/dp/0439136369""},{""name"":""Mass Market Paperback"",""price"":""$31.79"",""url"":""/HARRY-POTTER-PRISONER-ASKAB-Rowling/dp/1551927047""},{""name"":""Audio CD"",""price"":""$42.69"",""url"":""/Harry-Potter-Prisoner-Azkaban-Book/dp/0807282324""}]",0439136350,,0439136350,"https://images-na.ssl-images-amazon.com/images/I/51-rbiAIiRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,Jenson Books Inc,['J. K. Rowling']
Harry Potter and the Prisoner of Azkaban (3),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Prisoner-Azkaban-Rowling-ebook/dp/B0192CTMX2""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Prisoner-Azkaban-Book/dp/B017V4NTFA""},{""name"":""Hardcover"",""price"":""$13.97"",""url"":""/Harry-Potter-Prisoner-Azkaban-Rowling/dp/0439136350""},{""name"":""Mass Market Paperback"",""price"":""$31.79"",""url"":""/HARRY-POTTER-PRISONER-ASKAB-Rowling/dp/1551927047""},{""name"":""Audio CD"",""price"":""$42.69"",""url"":""/Harry-Potter-Prisoner-Azkaban-Book/dp/0807282324""}]",0439136369,,0439136369,"https://images-na.ssl-images-amazon.com/images/I/51O4sQ1jsCL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,-OnTimeBooks-,['J. K. Rowling']
Harry Potter and the Goblet of Fire (4),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B0192CTMUU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Goblet-Fire-Book/dp/B017V4NQGM""},{""name"":""Paperback"",""price"":""$6.92"",""url"":""/Harry-Potter-Goblet-Fire-Rowling/dp/0439139600""},{""name"":""Mass Market Paperback"",""price"":""$18.86"",""url"":""/Harry-Potter-Goblet-Fire-Rowling/dp/1551927063""},{""name"":""Audio CD"",""price"":""$52.60"",""url"":""/Harry-Potter-Goblet-Fire-Book/dp/0807282596""},{""name"":""Multimedia CD"",""price"":"""",""url"":""/Potter-Goblet-POTTER-UNABRIDGED-Compact/dp/B00QORG9E4""}]",0439139597,,0439139597,"https://images-na.ssl-images-amazon.com/images/I/51gy+g8Z+1L._SY344_BO1,204,203,200_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,California Book Bag,['J. K. Rowling']
Harry Potter and the Goblet of Fire (4),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B0192CTMUU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Goblet-Fire-Book/dp/B017V4NQGM""},{""name"":""Hardcover"",""price"":""$14.36"",""url"":""/Harry-Potter-Goblet-Fire-Book/dp/0439139597""},{""name"":""Mass Market Paperback"",""price"":""$18.86"",""url"":""/Harry-Potter-Goblet-Fire-Rowling/dp/1551927063""},{""name"":""Audio CD"",""price"":""$52.60"",""url"":""/Harry-Potter-Goblet-Fire-Book/dp/0807282596""},{""name"":""Multimedia CD"",""price"":"""",""url"":""/Potter-Goblet-POTTER-UNABRIDGED-Compact/dp/B00QORG9E4""}]",0439139600,,0439139600,"https://images-na.ssl-images-amazon.com/images/I/51OORp1XD1L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,ZBK Books,['J. K. Rowling']
Harry Potter and the Half-Blood Prince (Book 6),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Half-Blood-Prince-Rowling-ebook/dp/B0192CTMWI""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Half-Blood-Prince-Book/dp/B017V4NOEG""},{""name"":""Paperback"",""price"":""$10.00"",""url"":""/Harry-Potter-Half-Blood-Prince-Book/dp/0439785960""},{""name"":""Mass Market Paperback"",""price"":""$7.88"",""url"":""/Harry-Potter-Half-Blood-Prince-Adult/dp/1551929856""},{""name"":""Audio CD"",""price"":""$51.03"",""url"":""/Harry-Potter-Half-Blood-Prince-Book/dp/0307283658""},{""name"":""Multimedia CD"",""price"":""$63.98"",""url"":""/Half-Blood-HALF-BLOOD-Rowling-Jul-16-2005-Compact/dp/B006DUUOCA""}]",0439784549,,0439784549,"https://images-na.ssl-images-amazon.com/images/I/51uO1pQc5oL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,-OnTimeBooks-,['J. K. Rowling']
Holes (Holes Series),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,2000/05/09,,"[{""name"":""Kindle"",""price"":""$7.99"",""url"":""/Holes-Louis-Sachar-ebook/dp/B004ZZH4V4""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Holes-Louis-Sachar-audiobook/dp/B0000YSH5G""},{""name"":""Hardcover"",""price"":""$18.99"",""url"":""/Holes-Louis-Sachar/dp/0374312648""},{""name"":""Mass Market Paperback"",""price"":""$6.52"",""url"":""/Holes-Louis-Sachar/dp/044022859X""},{""name"":""Audio CD"",""price"":""$19.95"",""url"":""/Holes-Louis-Sachar/dp/0739331760""},{""name"":""Multimedia CD"",""price"":""$33.76"",""url"":""/HOLES-Holes-Sachar-Author-compact/dp/B004XGCZFU""}]",0440414806,,0440414806,"https://images-na.ssl-images-amazon.com/images/I/5103VpC5DOL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.8 out of 5 stars,,,,False,False,False,,,,,,,,Amazon,['Louis Sachar']
How to Be an Antiracist,,"[""Books"",""History"",""Americas""]",,,,,,,"[{""name"":""Kindle"",""price"":""$13.99"",""url"":""/How-Be-Antiracist-Ibram-Kendi-ebook/dp/B07D2364N5""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/How-to-Be-an-Antiracist-audiobook/dp/B07TT85KLQ""},{""name"":""Paperback"",""price"":""$14.99"",""url"":""/Antiracist-Random-House-Large-Print/dp/0593396804""},{""name"":""Audio CD"",""price"":""$35.00"",""url"":""/How-Be-Antiracist-Ibram-Kendi/dp/0593395700""}]",0525509283,,0525509283,"https://images-na.ssl-images-amazon.com/images/I/51FXGegFoSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,,,,,,,,,,,MediaFlow,['Ibram X. Kendi']
Hair Love,,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$10.99"",""url"":""/Hair-Love-Matthew-Cherry-ebook/dp/B07G6R9Q6Q""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hair-Love/dp/B082DPDNC4""},{""name"":""Paperback"",""price"":""$13.28"",""url"":""/Hair-Love-Matthew-Cherry/dp/0241406420""},{""name"":""Audio CD"",""price"":""$14.99"",""url"":""/Hair-Love-Matthew-Cherry/dp/1690582863""}]",0525553363,,0525553363,"https://images-na.ssl-images-amazon.com/images/I/51tjnvwfLvL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,The BAP Goods,['Vashti Harrison']
Hidden Valley Road: Inside the Mind of an American Family,,"[""Books"",""Biographies & Memoirs"",""Professionals & Academics""]",,,,,,,"[{""name"":""Kindle"",""price"":""$12.99"",""url"":""/Hidden-Valley-Road-Inside-American-ebook/dp/B07TZYFR71""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hidden-Valley-Road-Inside-American/dp/B0859L8P4Q""},{""name"":""Hardcover"",""price"":""$15.59"",""url"":""/Hidden-Valley-Road-Inside-American/dp/038554376X""}]",0525562648,,0525562648,"https://images-na.ssl-images-amazon.com/images/I/51s+M6jHpfL._SY344_BO1,204,203,200_.jpg",4.5 out of 5 stars,,,,,,,,,,,,,,Evil Top Hat,['Robert Kolker']
Hamnet,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,,,,,,"[{""name"":""Kindle"",""price"":""$13.99"",""url"":""/Hamnet-Maggie-OFarrell-ebook/dp/B07ZN51NL3""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Hamnet/dp/B085KB4NQS""},{""name"":""Paperback"",""price"":""$13.64"",""url"":""/Hamnet-Maggie-OFarrell/dp/1984898876""}]",0525657606,,0525657606,"https://images-na.ssl-images-amazon.com/images/I/41ZUIlGalWL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.5 out of 5 stars,,,,,,,,,,,,,,sagir13,"[""Maggie O'Farrell""]"
Harry Potter Hardcover Boxed Set: Books 1-7,,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$62.99"",""url"":""/Harry-Potter-Complete-Collection-1-7-ebook/dp/B01B3DIPMW""},{""name"":""Paperback"",""price"":""$39.99"",""url"":""/Harry-Potter-Paperback-Box-Books/dp/0545162076""},{""name"":""Audio CD"",""price"":""$360.34"",""url"":""/Harry-Potter-1-Audio-Collection/dp/0739352245""},{""name"":""Toy"",""price"":""$179.99"",""url"":""/Harry-Potter-Hardcover-Limited-Boxed/dp/B01GFJ6288""}]",0545044251,,0545044251,"https://images-na.ssl-images-amazon.com/images/I/51qOOVlgR+L._SX258_BO1,204,203,200_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,New England Proprietors,['J. K. Rowling']
Harry Potter and the Deathly Hallows (Book 7),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Deathly-Hallows-Rowling-ebook/dp/B0192CTMWS""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Harry-Potter-Deathly-Hallows-Book/dp/B017WJ5PR4""},{""name"":""Hardcover"",""price"":""$17.49"",""url"":""/Harry-Potter-Deathly-Hallows-Book/dp/0545010225""},{""name"":""Loose Leaf"",""price"":""$11.60"",""url"":""/IncrediBuilds-Emblematics-Potter-Deathly-Hallows/dp/1682984575""},{""name"":""Audio CD"",""price"":""$73.45"",""url"":""/Potter-Deathly-Hallows-Howard-Hughes/dp/1408882248""},{""name"":""Book Supplement"",""price"":""$30.96"",""url"":""/RAREJ-K-ROWLING-Potter-Deathly-Hallows/dp/B07638T6FP""}]",0545139708,,0545139708,"https://images-na.ssl-images-amazon.com/images/I/51jyI6lYi1L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,Bay State Book Company,['J. K. Rowling']
Harry Potter Paperback Box Set (Books 1-7),,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,,,"[{""name"":""Kindle"",""price"":""$62.99"",""url"":""/Harry-Potter-Complete-Collection-1-7-ebook/dp/B01B3DIPMW""},{""name"":""Hardcover"",""price"":""$130.20"",""url"":""/Harry-Potter-Childrens-Collection-Rowling/dp/1408856786""},{""name"":""Audio CD"",""price"":""$360.34"",""url"":""/Harry-Potter-1-Audio-Collection/dp/0739352245""},{""name"":""Accessory with book"",""price"":""$249.99"",""url"":""/Harry-Potter-Hardcover-Boxed-Set/dp/B00KZ4TA6Q""}]",0545162076,,0545162076,"https://images-na.ssl-images-amazon.com/images/I/41XlFN304wL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,Amazon,['J. K. Rowling']
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",,,,,2015/10/06,,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Harry-Potter-Sorcerers-Stone-Illustrated-ebook/dp/B073QTXDBZ""},{""name"":""Paperback"",""price"":""$29.10"",""url"":""/Harry-Potter-Philosophers-Stone-Illustrated/dp/1526602385""}]",0545790352,,0545790352,"https://images-na.ssl-images-amazon.com/images/I/51YRRwUALDL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,False,False,False,,,,,,,,Goodwill Michiana,['J. K. Rowling']
High Achiever: The Incredible True Story of One Addict's Double Life,,"[""Books"",""Self-Help"",""Relationships""]",,,,,,,"[{""name"":""Kindle"",""price"":""$10.99"",""url"":""/High-Achiever-Incredible-Addicts-Double-ebook/dp/B07QCLBDFX""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/High-Achiever-Tiffany-Jenkins-audiobook/dp/B07RJ1NW1B""}]",0593135938,,0593135938,"https://images-na.ssl-images-amazon.com/images/I/41DQHQoQWVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,,,,,,,,,,,2nd Life Aloha,['Tiffany Jenkins']
